Condition,Intan_Channel,Spike_Time,Amplitude,ISI,FPD,FPD_Window,Find_Max,Detect_Above,Threshold_Factor
0Baseline,0,0.8769,142.84485939890345,,187.6,"(150, 250)",True,True,4
0Baseline,0,2.4877,142.1103664046431,1610.8,182.7,"(150, 250)",True,True,4
0Baseline,0,4.1035,144.8735107573533,1615.8,184.79999999999998,"(150, 250)",True,True,4
0Baseline,0,5.7176,144.17368672648317,1614.1000000000001,186.6,"(150, 250)",True,True,4
0Baseline,0,7.3304,136.88014449320966,1612.8,184.2,"(150, 250)",True,True,4
0Baseline,0,8.9485,145.17062518826532,1618.1000000000001,184.0,"(150, 250)",True,True,4
0Baseline,0,10.5606,152.28950480550907,1612.1000000000001,193.20000000000002,"(150, 250)",True,True,4
0Baseline,0,12.1752,144.8783466342288,1614.6000000000001,179.60000000000002,"(150, 250)",True,True,4
0Baseline,0,13.7934,144.90045150846024,1618.2,187.1,"(150, 250)",True,True,4
0Baseline,0,15.4104,144.81643362875926,1617.0,174.1,"(150, 250)",True,True,4
0Baseline,0,17.0301,150.124332703624,1619.6999999999998,183.4,"(150, 250)",True,True,4
0Baseline,0,18.6499,144.08219320526058,1619.8,175.3,"(150, 250)",True,True,4
0Baseline,0,20.2661,146.98236385531263,1616.2,182.29999999999998,"(150, 250)",True,True,4
0Baseline,0,21.8814,145.75803404635892,1615.3,180.79999999999998,"(150, 250)",True,True,4
0Baseline,0,23.4982,144.1650377992452,1616.8,174.6,"(150, 250)",True,True,4
0Baseline,0,25.1124,143.4082684054954,1614.2,183.0,"(150, 250)",True,True,4
0Baseline,0,26.7155,146.0186997460349,1603.1,186.6,"(150, 250)",True,True,4
0Baseline,0,28.3125,149.42261046366502,1597.0,180.9,"(150, 250)",True,True,4
0Baseline,0,29.9216,148.66568358479356,1609.1,177.0,"(150, 250)",True,True,4
0Baseline,0,31.5299,151.29728391039993,1608.3,179.7,"(150, 250)",True,True,4
0Baseline,0,33.1347,149.54703972429056,1604.8,181.79999999999998,"(150, 250)",True,True,4
0Baseline,0,34.7381,143.61428586519247,1603.3999999999999,180.29999999999998,"(150, 250)",True,True,4
0Baseline,0,36.3399,143.41733670929966,1601.8,179.29999999999998,"(150, 250)",True,True,4
0Baseline,0,37.941,151.894762125264,1601.1,186.70000000000002,"(150, 250)",True,True,4
0Baseline,0,39.5433,152.3798677460631,1602.3,177.5,"(150, 250)",True,True,4
0Baseline,0,41.1543,138.69896800041727,1611.0,180.5,"(150, 250)",True,True,4
0Baseline,0,42.764,145.2981621671303,1609.6999999999998,184.4,"(150, 250)",True,True,4
0Baseline,0,44.3686,147.3477583198101,1604.6000000000001,174.8,"(150, 250)",True,True,4
0Baseline,0,45.9803,149.95414011527282,1611.6999999999998,177.5,"(150, 250)",True,True,4
0Baseline,0,47.5925,151.5825348130266,1612.2,180.2,"(150, 250)",True,True,4
0Baseline,0,49.2024,143.17090529583783,1609.9,170.0,"(150, 250)",True,True,4
0Baseline,0,50.8125,146.20225976192563,1610.1000000000001,174.8,"(150, 250)",True,True,4
0Baseline,0,52.4283,143.7876814500887,1615.8,177.5,"(150, 250)",True,True,4
0Baseline,0,54.0381,141.51378047138834,1609.8,174.4,"(150, 250)",True,True,4
0Baseline,0,55.6558,152.18326024229734,1617.6999999999998,176.4,"(150, 250)",True,True,4
0Baseline,0,57.2619,143.8273261868735,1606.1000000000001,171.9,"(150, 250)",True,True,4
0Baseline,0,58.8855,139.77006331806507,1623.6,180.10000000000002,"(150, 250)",True,True,4
0Baseline,1,0.877,246.31664587694482,,182.7,"(150, 250)",True,True,2
0Baseline,1,2.4883,241.72014223429838,1611.3,186.20000000000002,"(150, 250)",True,True,2
0Baseline,1,4.1032,241.1685465649186,1614.9,189.5,"(150, 250)",True,True,2
0Baseline,1,5.7172,241.56593302441098,1614.0,191.39999999999998,"(150, 250)",True,True,2
0Baseline,1,7.3304,246.96901382804427,1613.2,187.1,"(150, 250)",True,True,2
