Set Name,Cycle,Time(ms),ZTip Displacement(um),ZBase Displacement(um),Current Size (um),ZForce(uN),XTip Displacement(um),XBase Displacement(um),XForce(uN),Temperature (°C)
Data1,1-Compress,0,0,0,323.6,0,0,-0,-0,33.1
Data1,1-Compress,200,-5.0958,0,328.696,154.13,-5.87977,7.7,235.311,33.1
Data1,1-Compress,400,-6.85973,0.1,330.46,207.483,-30.8688,23,1432.74,33.1
Data1,1-Compress,600,-11.2696,0.1,334.87,343.889,-65.9514,71.5,3576.69,33.1
Data1,1-Compress,800,-9.99561,-0.1,333.596,305.356,-60.8556,153.3,5591.23,33.1
Data1,1-Compress,1000,-4.40983,-0.1,328.01,136.406,-18.5213,207.7,6518.76,33.1
Data1,1-Compress,1200,-0.195992,0.2,323.796,8.95272,17.0513,245.8,6567.98,33.1
Data1,1-Compress,1400,-5.1938,0.1,328.794,157.094,27.5369,244.2,6659.15,33.1
Data1,1-Compress,1600,-4.9978,0.1,328.598,157.215,4.31183,230.8,6971.45,33.1
Data1,1-Compress,1800,-4.11584,0.2,327.716,121.465,-8.42767,255.6,7635.04,33.1
Data1,1-Compress,2000,-5.78177,0.1,329.382,177.903,-1.95992,277.6,8295.39,33.1
Data1,1-Compress,2200,-4.11584,0.1,327.716,124.49,-0.587977,297,8858.83,33.1
Data1,1-Compress,2400,-5.78177,0.1,329.382,177.903,33.2207,304.1,8286.9,33.1
Data1,1-Compress,2600,1.27395,0.1,322.326,-35.5078,36.9446,302.6,7974.64,33.2
Data1,1-Compress,2800,6.46775,0,317.132,-192.602,41.1584,291.3,7786.7,33.2
Data1,1-Compress,3000,6.17376,0,317.426,-183.71,27.9289,285.3,7863.21,33.2
Data1,1-Compress,3200,6.95773,0.1,316.642,-210.447,60.0717,283.2,6794.21,33.2
Data1,1-Compress,3400,4.9978,0.1,318.602,-151.166,74.9671,257.4,5805.29,33.2
Data1,1-Compress,3600,9.11364,0.1,314.486,-275.655,6.56574,238.1,7009.14,33.2
Data1,1-Compress,3800,12.9355,0.1,310.665,-391.253,48.0181,255.7,6160.66,33.2
Data1,1-Compress,4000,14.6994,0,308.901,-441.581,60.6596,233.3,5587.74,33.2
Data1,1-Compress,4200,20.9712,0.1,302.629,-631.279,32.5347,219,5639.91,33.2
Data1,1-Compress,4400,23.2251,0.1,300.375,-696.428,72.6152,231.6,4742.19,33.2
Data1,1-Compress,4600,23.2251,0.2,300.375,-696.428,95.9383,201.7,3589.1,33.2
Data1,1-Compress,4800,23.1271,0.1,300.473,-696.488,91.5284,156.1,2331.14,33.2
Data1,1-Compress,5000,25.283,-0.1,298.317,-764.722,70.0673,114.7,1740.16,33.2
Data1,1-Compress,5200,25.479,0.1,298.121,-767.625,97.8002,92.9,72.5861,33.2
Data1,1-Compress,5400,27.9289,0.1,295.671,-841.726,53.7999,59.8,429.503,33.2
Data1,1-Compress,5600,30.1828,0.1,293.417,-915.948,1.56794,76,1818.78,33.2
Data1,1-Compress,5800,31.5548,0,292.045,-954.42,25.283,132.1,2659.18,33.3
Data1,1-Compress,6000,33.6127,0.1,289.987,-1013.64,35.1806,168.2,3593.87,33.3
Data1,1-Compress,6200,34.9846,0,288.615,-1058.16,40.4724,184.5,4259.54,33.3
Data1,1-Compress,6400,38.0225,0.2,285.577,-1150.05,29.4968,204.6,5042.18,33.3
Data1,1-Compress,6600,33.5147,0.1,290.085,-1010.68,105.444,214.6,3425.6,33.3
Data1,1-Compress,6800,30.0848,0.1,293.515,-903.91,77.515,186.3,3511.16,33.3
Data1,1-Compress,7000,32.2407,-0.2,291.359,-975.168,94.5663,170,2496.35,33.4
Data1,1-Compress,7200,32.7307,0.1,290.869,-993.013,93.9783,151.8,1851.74,33.4
Data1,1-Compress,7400,29.9868,0.3,293.613,-906.995,138.371,123.6,-41.4557,33.4
Data1,1-Compress,7600,26.459,-0.2,297.141,-800.29,109.462,67.3,-866.916,33.4
Data1,1-Compress,7800,29.3989,0.3,294.201,-886.187,103.876,33.1,-1744.49,33.4
Data1,1-Compress,8000,31.1628,0,292.437,-942.564,65.8534,24.2,-1268.94,33.4
Data1,1-Compress,8200,34.7886,0.1,288.811,-1049.21,76.143,33.6,-1386.59,33.4
Data1,1-Compress,8400,33.9067,0,289.693,-1025.56,88.4905,30.6,-1642.1,33.4
Data1,1-Compress,8600,35.2786,0,288.321,-1064.03,67.8134,31.8,-1143.72,33.4
Data1,1-Compress,8800,32.0447,0,291.555,-969.24,74.8691,46.7,-1015.35,33.4
Data1,1-Compress,9000,34.2987,0,289.301,-1037.41,102.406,53.2,-1397.57,33.5
Data1,1-Compress,9200,32.7307,0,290.869,-986.964,102.014,41.3,-1745.64,33.5
Data1,1-Compress,9400,32.5347,0,291.065,-984.06,108.188,43.7,-2050.34,33.5
Data1,1-Compress,9600,30.0848,0.1,293.515,-909.96,106.914,30.3,-2114.65,33.5
Data1,1-Compress,9800,32.2407,0,291.359,-972.144,108.678,14.9,-2679.16,33.5
Data1,1-Compress,10000,36.4546,0,287.145,-1102.62,108.972,7.6,-3005.64,33.5
